0.13575E-01 0.32783E-04 0.00000E+01 11470100 0 0 23091 0.16995E+07 0.00000E+01 0.13574E-01 0.00000E+01 0.00000E+01 0
1 0.01333 0.00022173 6.6533 12.383 0.01333
2 0.013425 0.00016082 6.7762 24.513 0.013425
3 0.013584 9.4074e-05 5.5402 8.2345 0.013582
4 0.013445 0.00023806 7.0822 11.527 0.013445
5 0.013833 0.00026279 10.746 67.777 0.013832
6 0.013565 9.9016e-05 5.8394 16.397 0.013564
7 0.013052 0.00034534 7.4837 7.0621 0.013052
8 0.013806 0.00026014 7.5372 19.398 0.013805
9 0.013395 0.00014288 6.0341 8.0736 0.013395
10 0.013326 0.00050073 10.628 21.242 0.013326
11 0.013874 0.00030789 8.8767 18.585 0.013874
12 0.013596 0.00016148 6.7186 10.4 0.013596
13 0.013491 0.00027351 8.1095 15.203 0.013491
14 0.013725 0.00017628 7.2656 18.93 0.013725
15 0.013689 0.00011527 6.7364 15.249 0.013689
16 0.013684 0.00025238 7.3774 10.338 0.013684
17 0.013713 0.00019624 8.0955 40.616 0.013713
18 0.01376 0.00010075 5.8575 13.225 0.01376
19 0.013477 0.00033933 7.1215 6.9226 0.013475
20 0.013397 0.00021735 6.4896 16.349 0.013396
21 0.013609 0.00013434 5.5841 7.8346 0.013609
22 0.013722 0.00053129 10.951 22.821 0.013722
23 0.013395 0.00021557 6.4371 7.2875 0.013395
24 0.013316 0.0001418 6.024 10.528 0.013315
25 0.013572 0.00019444 8.1043 24.415 0.013554
26 0.013757 0.00020632 11.998 112.85 0.013756
27 0.013533 6.9431e-05 5.8043 16.349 0.013533
28 0.013626 0.00036015 10.572 44.867 0.013626
29 0.013571 0.00017736 7.3929 27.998 0.013571
30 0.013734 0.0001055 6.1456 16.902 0.013733
<lo_statistics>
<cumulated_time> 1605.629608 </cumulated_time>
</lo_statistics>
