             1             1
             2             1
             3            -1
             4             1
             5             1
             6             1
             7            -4
             8            -5
             9            -6
            10             1
            11             1
            12           -10
            13           -11
            14             1
            15           -14
            16             1
            17             1
            18           -16
            19             1
            20             1
            21             1
            22           -19
            23           -20
            24           -21
            25             1
            26             1
            27           -25
            28           -26
            29             1
            30           -29
